Nazwa,Wersja,Dostępność,Ocena,Cena,Data_Utworzenia,Specjalizacja,Imię_Twórcy,Nazwisko_Twórcy,Płeć_Twórcy,Kraj,Email_Serwisowy
Bamity,0.95,Android,1,$19.99,7/19/2021,Kreator Postaci,Giles,Studdeard,Male,Ukraine,gstuddeard0@slideshare.net
Latlux,8.5,Android,4,$7.49,12/17/2019,Tłumacz,Ambros,Fernando,Polygender,Russia,afernando1@alexa.com
Ronstring,2.9,Android,4,$16.46,11/5/2020,Galeria tematyczna,Lucias,Springham,Male,Indonesia,lspringham2@blinklist.com
Holdlamis,9.5,Android,5,$34.95,4/23/2021,Komunikator,Calv,Lotwich,Genderfluid,Croatia,clotwich3@jigsy.com
Redhold,3.67,IOS,0,$10.05,4/29/2021,Wyszukiwarka Synonimów,Yurik,MacArte,Female,China,ymacarte4@wunderground.com
Latlux,1.1,Android,5,$31.12,1/27/2021,Tłumacz,Cindie,Giddons,Female,Palestinian Territory,cgiddons5@craigslist.org
Hatity,0.3.4,Android,3,$43.25,3/6/2021,Tłumacz,Esta,Jukes,Female,Colombia,ejukes6@springer.com
Tempsoft,0.54,IOS,5,$3.78,9/12/2020,Notatnik,Eleanor,Popple,Non-binary,Brazil,epopple7@zdnet.com
Latlux,0.62,IOS,3,$43.72,8/1/2020,Wyszukiwarka Synonimów,Gene,Gretton,Male,Brazil,ggretton8@zimbio.com
Gembucket,0.6.4,Android,3,$28.27,5/1/2021,Notatnik,Sander,Python,Female,Ukraine,spython9@stanford.edu
Zoolab,0.12,IOS,1,$1.97,11/12/2020,Sprawdzanie Poprawności Pisowni,Rose,Nazair,Agender,China,rnazaira@shareasale.com
Stringtough,0.1.4,Android,4,$38.02,7/28/2021,Tłumacz,Godwin,Delamar,Female,Indonesia,gdelamarb@census.gov
Y-Solowarm,0.40,IOS,2,$48.36,10/4/2020,Tłumacz,Misti,Bothwell,Polygender,Nigeria,mbothwellc@diigo.com
Flowdesk,0.78,Android,3,$48.65,4/25/2020,Sprawdzanie Poprawności Pisowni,Dean,Scothorne,Female,Kazakhstan,dscothorned@dmoz.org
Voyatouch,8.79,IOS,1,$9.01,1/9/2020,Galeria tematyczna,Sallee,Godart,Genderqueer,Italy,sgodarte@utexas.edu
Duobam,0.3.6,Android,2,$44.24,7/11/2021,Kreator Okładek,Victoria,Ellor,Genderfluid,Indonesia,vellorf@wunderground.com
Sonsing,4.9.4,IOS,1,$41.49,3/10/2020,Notatnik,Maxi,Avrahamy,Non-binary,Indonesia,mavrahamyg@exblog.jp
Overhold,7.14,Android,4,$39.68,11/27/2021,Sprawdzanie Poprawności Pisowni,Vonny,Yakuntzov,Agender,Indonesia,vyakuntzovh@phoca.cz
Greenlam,2.54,IOS,4,$44.88,1/8/2020,Wyszukiwarka Synonimów,Mattie,Lavallin,Bigender,Colombia,mlavallini@nhs.uk
Hatity,0.79,IOS,2,$1.77,3/14/2021,Odtwarzacz muzyki,Prudence,Gavagan,Genderfluid,Sweden,pgavaganj@51.la
Transcof,0.54,Android,2,$1.83,10/7/2020,Galeria tematyczna,Olga,Mattiessen,Agender,Peru,omattiessenk@usnews.com
Latlux,5.91,Android,0,$45.38,9/6/2020,Kreator Postaci,Gonzales,Cutbush,Female,Brazil,gcutbushl@telegraph.co.uk
Zontrax,0.98,IOS,5,$26.24,1/19/2020,Galeria tematyczna,Ursulina,Ferrarese,Polygender,United States,uferraresem@google.com.br
Stringtough,0.17,Android,0,$10.23,1/19/2021,Blog,Aime,Rutgers,Female,Luxembourg,arutgersn@ucoz.ru
Gembucket,0.85,Android,3,$11.95,1/5/2020,Blog,Ardis,Maggiore,Bigender,Myanmar,amaggioreo@harvard.edu
Home Ing,0.1.7,IOS,0,$10.40,9/29/2020,Notatnik,Toiboid,Curley,Male,Nigeria,tcurleyp@un.org
Alphazap,2.61,IOS,2,$22.49,9/11/2021,Kreator Okładek,Lorettalorna,Domenc,Genderfluid,Philippines,ldomencq@chronoengine.com
Y-Solowarm,8.1,IOS,0,$43.18,12/23/2020,Kreator Postaci,Emmey,MacCurley,Male,Vietnam,emaccurleyr@ihg.com
Sub-Ex,3.6.4,IOS,3,$44.76,2/11/2020,Kreator Postaci,Veradis,Duley,Polygender,Palestinian Territory,vduleys@dyndns.org
